"IfcGUID","Level","Room: Number","Assembly Code","Assembly Description","Family","Type"
"0ImRR5UQf38efws_Jt6E4R","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E44","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E45","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E46","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E47","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E40","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E41","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E42","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E43","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E4C","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E4E","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E4F","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E48","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E49","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E4A","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6E4B","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exq","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exs","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Ext","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exm","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exn","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exo","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exp","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exy","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Ex_","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Ex$","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exu","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exv","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exw","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exx","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exa","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exc","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exd","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6ExW","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6ExX","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6ExY","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6ExZ","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exi","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exk","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exl","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exe","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exf","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exg","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6Exh","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6ExK","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6ExM","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6ExN","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6ExG","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6ExH","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6ExI","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6ExJ","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
"0ImRR5UQf38efws_Jt6ExS","ENT","","E2010","Fixed Furnishings","Bureau gradins","60 x 38"
